"dates","variable"
2042-03-29,520.051513671875
2042-04-29,518.502258300781
2042-05-29,525.031005859375
2042-06-29,517.104614257812
2042-07-30,489.465454101562
2042-08-29,457.515655517578
2042-09-29,418.867492675781
2042-10-29,391.380218505859
2042-11-29,384.690246582031
2042-12-29,396.621673583984
2043-01-27,429.723571777344
2043-02-27,486.658538818359
2043-03-29,515.152221679688
2043-04-29,515.614990234375
2043-05-29,519.149963378906
2043-06-29,516.52294921875
2043-07-30,494.830749511719
2043-08-29,459.202331542969
2043-09-29,415.822204589844
2043-10-29,389.201965332031
2043-11-29,392.224304199219
2043-12-29,402.028442382812
2044-01-27,434.377136230469
2044-02-27,480.455657958984
2044-03-28,521.6494140625
2044-04-28,529.635437011719
2044-05-28,523.5849609375
2044-06-28,517.601318359375
2044-07-29,501.982879638672
2044-08-28,465.304901123047
2044-09-28,428.165405273438
2044-10-28,384.961212158203
2044-11-28,386.646179199219
2044-12-28,417.976013183594
2045-01-26,445.231079101562
2045-02-26,465.156433105469
2045-03-28,525.053649902344
2045-04-28,541.692321777344
2045-05-28,520.271484375
2045-06-28,518.583129882812
2045-07-29,495.357452392578
2045-08-28,470.218414306641
2045-09-28,420.600524902344
2045-10-28,410.978790283203
2045-11-28,395.654541015625
2045-12-28,397.972381591797
2046-01-26,452.528656005859
2046-02-26,505.449066162109
2046-03-28,523.910888671875
2046-04-28,537.850341796875
2046-05-28,520.975891113281
2046-06-28,524.003234863281
2046-07-29,504.874053955078
2046-08-28,472.864837646484
2046-09-28,417.100036621094
2046-10-28,406.115203857422
2046-11-28,405.753479003906
2046-12-28,403.603149414062
2047-01-26,441.810852050781
2047-02-26,484.30908203125
2047-03-28,516.417602539062
2047-04-28,527.888427734375
2047-05-28,515.77490234375
2047-06-28,523.967163085938
2047-07-29,498.850830078125
2047-08-28,444.827331542969
2047-09-28,409.916900634766
2047-10-28,399.623504638672
2047-11-28,403.407318115234
2047-12-28,401.044250488281
2048-01-26,429.217407226562
2048-02-26,481.291809082031
2048-03-27,513.581909179688
2048-04-27,519.997375488281
2048-05-27,518.540100097656
2048-06-27,511.610046386719
2048-07-28,485.903015136719
2048-08-27,446.522644042969
