"date","net_radiation"
"2024-07-03",53.044570922852
"2024-08-03",41.425979614258
"2024-09-02",30.165252685547
"2024-10-03",17.8707046508798
"2024-11-02",17.02872467041
"2024-12-03",21.258987426758
"2025-01-02",30.875946044922
"2025-01-31",42.217559814453
"2025-03-03",53.860992431641
"2025-04-02",59.695983886719
"2025-05-03",50.999191284179
"2025-06-02",56.057983398437
"2025-07-03",51.7213592529291
"2025-08-03",43.171035766601
"2025-09-02",30.191970825197
"2025-10-03",19.95728302002
"2025-11-02",13.116561889649
"2025-12-03",22.317924499512
"2026-01-02",40.749130249024
"2026-01-31",45.684814453125
"2026-03-03",50.101516723633
"2026-04-02",57.238967895507
"2026-05-03",56.778884887695
"2026-06-02",57.7065887451169
"2026-07-03",51.618103027344
"2026-08-03",46.049758911133
"2026-09-02",31.244216918945
"2026-10-03",21.011672973633
"2026-11-02",19.646926879883
"2026-12-03",25.356658935547
"2027-01-02",36.547622680664
"2027-01-31",46.465499877929
"2027-03-03",52.553451538086
"2027-04-02",51.411880493164
"2027-05-03",50.638427734375
"2027-06-02",52.3722686767581
"2027-07-03",52.253448486328
"2027-08-03",42.730163574218
"2027-09-02",30.838745117187
"2027-10-03",25.806030273437
"2027-11-02",19.479263305664
"2027-12-03",19.998336791992
"2028-01-02",34.896942138672
"2028-01-31",46.798049926759
"2028-03-02",51.518081665039
"2028-04-01",57.813888549805
"2028-05-02",61.689392089844
"2028-06-01",56.59487915039
"2028-07-02",53.236557006836
"2028-08-02",45.220565795899
"2028-09-01",32.8397064208981
"2028-10-02",24.091804504395
"2028-11-01",18.257064819336
"2028-12-02",25.693550109864
"2029-01-01",37.881607055664
"2029-01-30",48.040740966797
"2029-03-02",54.838363647461
"2029-04-01",56.4076995849599
"2029-05-02",57.718307495118
"2029-06-01",56.9296417236339
"2029-07-02",49.49349975586
"2029-08-02",43.850891113282
"2029-09-01",32.553741455079
"2029-10-02",23.2861633300789
"2029-11-01",17.566329956055
"2029-12-02",22.973190307617
"2030-01-01",36.8462066650389
"2030-01-30",42.151153564452
"2030-03-02",52.629272460938
"2030-04-01",54.563568115233
"2030-05-02",54.496948242187
"2030-06-01",52.844161987305
"2030-07-02",55.334762573242
"2030-08-02",48.001083374024
"2030-09-01",36.232223510743
"2030-10-02",21.4322814941401
"2030-11-01",18.9279174804692
"2030-12-02",23.301170349121
"2031-01-01",34.262924194336
"2031-01-30",43.617965698241
"2031-03-02",58.404602050782
"2031-04-01",59.737808227539
"2031-05-02",57.201766967774
"2031-06-01",53.346954345703
"2031-07-02",53.039031982422
"2031-08-02",39.749008178711
"2031-09-01",30.779754638671
"2031-10-02",16.331512451172
"2031-11-01",15.3838882446303
"2031-12-02",31.5715332031248
"2032-01-01",36.010101318359
"2032-01-30",43.775329589844
"2032-03-01",49.474243164062
"2032-03-31",54.021209716797
"2032-05-01",70.1344146728519
