"dates","variable"
2021-09-03,1.0885321898968e-05
2021-10-04,6.00971225139801e-06
2021-11-03,1.53808525737986e-06
2021-12-04,2.62150751950685e-06
2022-01-03,4.59946977571235e-06
2022-02-01,1.17559875434381e-05
2022-03-04,1.78613718162524e-05
2022-04-03,2.56347175309202e-05
2022-05-04,3.39737707690801e-05
2022-06-03,4.1609579056967e-05
2022-07-04,3.2297055440722e-05
2022-08-04,2.00097292690771e-05
2022-09-03,1.1427736353653e-05
2022-10-04,5.66006292501697e-06
2022-11-03,3.33675779984333e-06
2022-12-04,1.99507962861389e-06
2023-01-03,2.12297891266644e-06
2023-02-01,7.89031309977872e-06
2023-03-04,1.91663584701018e-05
2023-04-03,2.7409050744609e-05
2023-05-04,3.866511178785e-05
2023-06-03,3.58596407750156e-05
2023-07-04,3.08945200231392e-05
2023-08-04,2.09407571674092e-05
2023-09-03,1.26185550470836e-05
2023-10-04,5.08601078763604e-06
2023-11-03,1.99174974113703e-06
2023-12-04,3.4871425214078e-06
2024-01-03,5.33673073732643e-06
2024-02-01,1.25797323562438e-05
2024-03-03,2.04118823603494e-05
2024-04-02,3.24367501889355e-05
2024-05-03,3.44867366948165e-05
2024-06-02,3.44769687217195e-05
2024-07-03,3.60979502147529e-05
2024-08-03,2.34691669902531e-05
2024-09-02,1.28188758026226e-05
2024-10-03,4.72983356303303e-06
2024-11-02,1.89098932423803e-06
2024-12-03,2.27438954425452e-06
2025-01-02,4.27062923336052e-06
2025-01-31,9.63802995102014e-06
2025-03-03,1.40945885505062e-05
2025-04-02,2.89041363430442e-05
2025-05-03,4.11836554121692e-05
2025-06-02,4.00895696657244e-05
2025-07-03,3.19682731060311e-05
2025-08-03,2.45407445618184e-05
2025-09-02,1.27012872326304e-05
2025-10-03,4.7072212510102e-06
2025-11-02,2.70383861789014e-06
2025-12-03,2.13886005440145e-06
2026-01-02,4.21288950747112e-06
2026-01-31,1.00944043879281e-05
2026-03-03,1.58496914082207e-05
2026-04-02,2.76665996352676e-05
2026-05-03,3.82585676561575e-05
2026-06-02,3.92009569623042e-05
2026-07-03,2.9296843422344e-05
2026-08-03,2.42041514866287e-05
2026-09-02,1.36188600663445e-05
2026-10-03,4.85536111227702e-06
2026-11-02,3.1471029160457e-06
2026-12-03,3.655223054011e-06
2027-01-02,4.12631834478816e-06
2027-01-31,9.99591702566249e-06
2027-03-03,2.16018306673504e-05
2027-04-02,3.25939508911688e-05
2027-05-03,3.64591069228482e-05
2027-06-02,3.23449894494843e-05
2027-07-03,3.39544967573602e-05
2027-08-03,2.42589740082622e-05
2027-09-02,1.31690449052257e-05
2027-10-03,4.68274083686993e-06
2027-11-02,4.03739204557496e-06
2027-12-03,1.80464826371463e-06
2028-01-02,2.39007454183593e-06
2028-01-31,1.00958077382529e-05
2028-03-02,2.13868243008619e-05
2028-04-01,3.52825882146135e-05
2028-05-02,4.34328794653993e-05
2028-06-01,3.69361332559492e-05
2028-07-02,3.00841929856688e-05
2028-08-02,2.20047477341723e-05
2028-09-01,1.25494934763992e-05
2028-10-02,5.837957814947e-06
2028-11-01,4.62815796709037e-06
2028-12-02,2.54414135270054e-06
2029-01-01,5.13602117280243e-06
2029-01-30,9.20857928576879e-06
2029-03-02,1.8626367818797e-05
2029-04-01,2.84808738797437e-05
2029-05-02,3.51857561327051e-05
2029-06-01,4.00797689508181e-05
2029-07-02,3.12696975015569e-05
2029-08-02,2.35921361309011e-05
