"dates","variable"
2028-05-02,408.995483398438
2028-06-01,399.770751953125
2028-07-02,392.664398193359
2028-08-02,363.780212402344
2028-09-01,340.901916503906
2028-10-02,326.945953369141
2028-11-01,291.925048828125
2028-12-02,278.034576416016
2029-01-01,321.636657714844
2029-01-30,316.629699707031
2029-03-02,333.616333007812
2029-04-01,401.363403320312
2029-05-02,427.507537841797
2029-06-01,395.956756591797
2029-07-02,388.583465576172
2029-08-02,368.163970947266
2029-09-01,329.289764404297
2029-10-02,311.058807373047
2029-11-01,295.952056884766
2029-12-02,283.956970214844
2030-01-01,285.354187011719
2030-01-30,309.378173828125
2030-03-02,377.72900390625
2030-04-01,386.753540039062
2030-05-02,398.950256347656
2030-06-01,380.837524414062
2030-07-02,392.494964599609
2030-08-02,351.902740478516
2030-09-01,328.968597412109
2030-10-02,301.250549316406
2030-11-01,292.013366699219
2030-12-02,287.208953857422
2031-01-01,309.963928222656
2031-01-30,318.065490722656
2031-03-02,367.367950439453
2031-04-01,411.962951660156
2031-05-02,389.863525390625
2031-06-01,375.457061767578
2031-07-02,382.058197021484
2031-08-02,390.807586669922
2031-09-01,362.767669677734
2031-10-02,332.03662109375
2031-11-01,293.121459960938
2031-12-02,286.275329589844
2032-01-01,295.631195068359
2032-01-30,350.486297607422
2032-03-01,357.439208984375
2032-03-31,390.419403076172
2032-05-01,446.729248046875
2032-05-31,396.553924560547
2032-07-01,390.738647460938
2032-08-01,383.286804199219
2032-08-31,339.020233154297
2032-10-01,315.923950195312
2032-10-31,285.391540527344
2032-12-01,275.610809326172
2032-12-31,288.312957763672
2033-01-29,350.431610107422
2033-03-01,358.683166503906
2033-03-31,376.158721923828
2033-05-01,401.893157958984
2033-05-31,391.258636474609
2033-07-01,392.560150146484
2033-08-01,369.233337402344
2033-08-31,331.331237792969
2033-10-01,305.124542236328
2033-10-31,284.784942626953
